Top 1000 Wordle openers (score = information gain, higher = better)
============================================================
 1. SOARE | score: 30.5615 | visits: 30
 2. STARE | score: 30.5602 | visits: 30
 3. SENOR | score: 30.5601 | visits: 30
 4. SNARE | score: 30.5593 | visits: 30
 5. STORE | score: 30.5520 | visits: 30
 6. SLANE | score: 30.5514 | visits: 30
 7. REAST | score: 30.5504 | visits: 30
 8. RAISE | score: 30.5497 | visits: 30
 9. SERON | score: 30.5495 | visits: 30
10. RESAT | score: 30.5491 | visits: 30
11. STRAE | score: 30.5476 | visits: 30
12. SYREN | score: 30.5466 | visits: 30
13. SCARE | score: 30.5459 | visits: 30
14. RESAY | score: 30.5431 | visits: 30
15. SWARE | score: 29.5478 | visits: 29
16. TASER | score: 29.5461 | visits: 29
17. ROSET | score: 29.5451 | visits: 29
18. STANE | score: 29.5447 | visits: 29
19. SNORE | score: 29.5446 | visits: 29
20. RESTY | score: 29.5437 | visits: 29
21. ROATE | score: 29.5437 | visits: 29
22. SANER | score: 29.5427 | visits: 29
23. SPARE | score: 29.5415 | visits: 29
24. ARSEY | score: 29.5415 | visits: 29
25. SONAR | score: 29.5413 | visits: 29
26. CRANE | score: 29.5408 | visits: 29
27. STARN | score: 29.5406 | visits: 29
28. ROUSE | score: 29.5405 | visits: 29
29. REIST | score: 29.5399 | visits: 29
30. AROSE | score: 29.5396 | visits: 29
31. ROAST | score: 29.5394 | visits: 29
32. STIRE | score: 29.5394 | visits: 29
33. TORSE | score: 29.5382 | visits: 29
34. SERIN | score: 29.5381 | visits: 29
35. SCRAE | score: 29.5380 | visits: 29
36. RESTO | score: 29.5378 | visits: 29
37. CARSE | score: 29.5378 | visits: 29
38. TARES | score: 29.5361 | visits: 29
39. REANS | score: 29.5360 | visits: 29
40. SAYER | score: 29.5355 | visits: 29
41. SAYNE | score: 29.5354 | visits: 29
42. SATYR | score: 29.5351 | visits: 29
43. SEWAN | score: 29.5346 | visits: 29
44. RATES | score: 29.5343 | visits: 29
45. STOAE | score: 29.5343 | visits: 29
46. SLATE | score: 29.5341 | visits: 29
47. SPORE | score: 29.5340 | visits: 29
48. PARSE | score: 29.5335 | visits: 29
49. SEWAR | score: 29.5330 | visits: 29
50. SIREN | score: 29.5327 | visits: 29
51. RINSE | score: 29.5326 | visits: 29
52. STALE | score: 29.5316 | visits: 29
53. PRASE | score: 29.5316 | visits: 29
54. ORATE | score: 29.5315 | visits: 29
55. RESAW | score: 29.5314 | visits: 29
56. SARGE | score: 29.5313 | visits: 29
57. SARED | score: 29.5313 | visits: 29
58. TEARS | score: 29.5309 | visits: 29
59. ARISE | score: 29.5309 | visits: 29
60. STEAR | score: 29.5308 | visits: 29
61. AESIR | score: 29.5304 | visits: 29
62. SARIN | score: 29.5304 | visits: 29
63. SEGAR | score: 29.5303 | visits: 29
64. REAIS | score: 29.5300 | visits: 29
65. SHARE | score: 29.5296 | visits: 29
66. TERNS | score: 29.5292 | visits: 29
67. SCORE | score: 29.5290 | visits: 29
68. STONE | score: 29.5288 | visits: 29
69. SNARY | score: 29.5286 | visits: 29
70. ROANS | score: 29.5286 | visits: 29
71. RONES | score: 29.5285 | visits: 29
72. ATONE | score: 29.5284 | visits: 29
73. TRACE | score: 29.5284 | visits: 29
74. SAINE | score: 29.5283 | visits: 29
75. ALONE | score: 29.5280 | visits: 29
76. RESIT | score: 29.5274 | visits: 29
77. TEARY | score: 29.5274 | visits: 29
78. CRATE | score: 29.5269 | visits: 29
79. STERN | score: 29.5265 | visits: 29
80. YEARN | score: 29.5265 | visits: 29
81. SABRE | score: 29.5262 | visits: 29
82. RESOW | score: 29.5257 | visits: 29
83. RESIN | score: 29.5256 | visits: 29
84. SPAER | score: 29.5246 | visits: 29
85. RENOS | score: 29.5244 | visits: 29
86. SERAL | score: 29.5244 | visits: 29
87. SERAC | score: 29.5243 | visits: 29
88. SPANE | score: 29.5238 | visits: 29
89. REACT | score: 29.5236 | visits: 29
90. TRADE | score: 29.5235 | visits: 29
91. TERAS | score: 29.5235 | visits: 29
92. SWORE | score: 29.5234 | visits: 29
93. RASED | score: 29.5231 | visits: 29
94. WRATE | score: 29.5229 | visits: 29
95. STAIR | score: 29.5226 | visits: 29
96. ALOES | score: 29.5224 | visits: 29
97. RISEN | score: 29.5223 | visits: 29
98. TENOR | score: 29.5222 | visits: 29
99. SOWNE | score: 29.5221 | visits: 29
100. ROUES | score: 29.5221 | visits: 29
101. SCALE | score: 29.5220 | visits: 29
102. SPIRE | score: 29.5220 | visits: 29
103. LEARN | score: 29.5217 | visits: 29
104. CORSE | score: 29.5216 | visits: 29
105. RENTS | score: 29.5215 | visits: 29
106. SAWER | score: 29.5215 | visits: 29
107. SLOAN | score: 29.5215 | visits: 29
108. WORSE | score: 29.5213 | visits: 29
109. NEARS | score: 29.5213 | visits: 29
110. SONCE | score: 29.5213 | visits: 29
