 1. SNARE | score: 52.5567 | visits: 52
 2. CRANE | score: 52.5567 | visits: 52
 3. SLANE | score: 52.5505 | visits: 52
 4. REAST | score: 52.5504 | visits: 52
 5. STARE | score: 52.5494 | visits: 52
 6. TRACE | score: 52.5480 | visits: 52
 7. CRATE | score: 52.5474 | visits: 52
 8. SOARE | score: 51.5463 | visits: 51
 9. STANE | score: 51.5448 | visits: 51
10. SERON | score: 51.5418 | visits: 51
11. REANS | score: 51.5415 | visits: 51
12. ROATE | score: 51.5413 | visits: 51
13. SCARE | score: 51.5404 | visits: 51
14. LEARN | score: 51.5401 | visits: 51
15. RAISE | score: 51.5400 | visits: 51
16. SENOR | score: 51.5394 | visits: 51
17. REACT | score: 51.5387 | visits: 51
18. TEARS | score: 51.5385 | visits: 51
19. RESAT | score: 51.5384 | visits: 51
20. LEANT | score: 51.5382 | visits: 51
21. TERNS | score: 51.5378 | visits: 51
22. TRADE | score: 51.5374 | visits: 51
23. SERIN | score: 50.5393 | visits: 50
24. STRAE | score: 50.5390 | visits: 50
25. CARSE | score: 50.5378 | visits: 50
26. REIST | score: 50.5373 | visits: 50
27. SANER | score: 50.5365 | visits: 50
28. TASER | score: 50.5362 | visits: 50
29. REAIS | score: 50.5361 | visits: 50
30. SAINE | score: 50.5360 | visits: 50
31. TRONE | score: 50.5346 | visits: 50
32. ORATE | score: 50.5333 | visits: 50
33. LIANE | score: 50.5326 | visits: 50
34. NEARS | score: 50.5325 | visits: 50
35. SNORE | score: 50.5319 | visits: 50
36. DEARN | score: 50.5319 | visits: 50
37. TORSE | score: 50.5318 | visits: 50
38. REALS | score: 50.5318 | visits: 50
39. ARISE | score: 50.5311 | visits: 50
40. AESIR | score: 50.5307 | visits: 50
41. TERAS | score: 50.5303 | visits: 50
42. PRASE | score: 50.5301 | visits: 50
43. SIREN | score: 50.5300 | visits: 50
44. SPARE | score: 50.5296 | visits: 50
45. LEANS | score: 50.5282 | visits: 50
46. SHARE | score: 50.5279 | visits: 50
47. SERAL | score: 50.5278 | visits: 50
48. PARSE | score: 50.5272 | visits: 50
49. SONCE | score: 50.5262 | visits: 50
50. LOSEN | score: 50.5259 | visits: 50
51. SLATE | score: 49.5293 | visits: 49
52. STORE | score: 49.5293 | visits: 49
53. LEARS | score: 49.5290 | visits: 49
54. CARTE | score: 49.5288 | visits: 49
55. PRATE | score: 49.5286 | visits: 49
56. AROSE | score: 49.5282 | visits: 49
57. SCRAE | score: 49.5281 | visits: 49
58. SERAC | score: 49.5279 | visits: 49
59. TARES | score: 49.5278 | visits: 49
60. TEARY | score: 49.5277 | visits: 49
61. ANTRE | score: 49.5276 | visits: 49
62. TRAPE | score: 49.5275 | visits: 49
63. ALONE | score: 49.5273 | visits: 49
64. YEARN | score: 49.5273 | visits: 49
65. CORSE | score: 49.5272 | visits: 49
66. SARED | score: 49.5271 | visits: 49
67. RENTS | score: 49.5265 | visits: 49
68. REINS | score: 49.5264 | visits: 49
69. TRANS | score: 49.5263 | visits: 49
70. RINSE | score: 49.5262 | visits: 49
71. LANCE | score: 49.5255 | visits: 49
72. RENOS | score: 49.5253 | visits: 49
73. IRATE | score: 49.5252 | visits: 49
74. CARLE | score: 49.5251 | visits: 49
75. SPANE | score: 49.5251 | visits: 49
76. SWARE | score: 49.5250 | visits: 49
77. SONAR | score: 49.5249 | visits: 49
78. TENOR | score: 49.5248 | visits: 49
79. STIRE | score: 49.5248 | visits: 49
80. READS | score: 49.5246 | visits: 49
81. CARES | score: 49.5243 | visits: 49
82. RONTE | score: 49.5241 | visits: 49
83. STALE | score: 49.5241 | visits: 49
84. RESAY | score: 49.5241 | visits: 49
85. RAINE | score: 49.5240 | visits: 49
86. LEAST | score: 49.5240 | visits: 49
87. NARES | score: 49.5239 | visits: 49
88. PEART | score: 49.5239 | visits: 49
89. ATONE | score: 49.5239 | visits: 49
90. STARN | score: 49.5237 | visits: 49
91. TRINE | score: 49.5235 | visits: 49
92. RONES | score: 49.5235 | visits: 49
93. RESTO | score: 49.5233 | visits: 49
94. CRAPE | score: 49.5232 | visits: 49
95. ROSET | score: 49.5230 | visits: 49
96. AEONS | score: 49.5230 | visits: 49
97. RANCE | score: 49.5228 | visits: 49
98. REALO | score: 49.5228 | visits: 49
99. RATES | score: 49.5228 | visits: 49
100. SCALE | score: 49.5227 | visits: 49
101. CRONE | score: 49.5226 | visits: 49
102. SAICE | score: 49.5226 | visits: 49
103. SARIN | score: 49.5223 | visits: 49
104. CRANS | score: 49.5221 | visits: 49
105. SPAER | score: 49.5219 | visits: 49
106. HEART | score: 49.5219 | visits: 49
107. ROAST | score: 49.5218 | visits: 49
108. LASER | score: 49.5216 | visits: 49
109. ROANS | score: 49.5215 | visits: 49
110. LARES | score: 49.5214 | visits: 49
111. NERTS | score: 49.5212 | visits: 49
112. SYREN | score: 49.5211 | visits: 49
113. SALET | score: 49.5210 | visits: 49
114. STONE | score: 49.5209 | visits: 49
115. SCONE | score: 49.5208 | visits: 49
116. LATEN | score: 49.5208 | visits: 49
117. CRENA | score: 49.5204 | visits: 49
118. LANES | score: 49.5202 | visits: 49
119. SAYNE | score: 49.5200 | visits: 49
120. PEARS | score: 49.5198 | visits: 49
121. CARET | score: 49.5197 | visits: 49
122. STERN | score: 49.5193 | visits: 49
123. RESIN | score: 49.5191 | visits: 49
124. ALIEN | score: 49.5189 | visits: 49
125. EARNT | score: 49.5187 | visits: 49
126. CANER | score: 49.5186 | visits: 49
127. SCORE | score: 49.5184 | visits: 49
128. LEIRS | score: 49.5183 | visits: 49
129. DEAIR | score: 49.5181 | visits: 49
130. WRATE | score: 49.5179 | visits: 49
131. AEROS | score: 49.5178 | visits: 49
132. EARNS | score: 49.5175 | visits: 49
133. NACRE | score: 49.5174 | visits: 49
134. RESIT | score: 49.5174 | visits: 49
135. CLAES | score: 49.5174 | visits: 49
136. CATER | score: 49.5169 | visits: 49
137. RACES | score: 49.5166 | visits: 49
138. CASTE | score: 49.5166 | visits: 49
139. SEWAN | score: 49.5164 | visits: 49
140. SERAI | score: 49.5163 | visits: 49
141. TARNS | score: 49.5162 | visits: 49
142. NEATS | score: 49.5159 | visits: 49
143. HERNS | score: 49.5158 | visits: 49
144. CRISE | score: 49.5158 | visits: 49
145. URASE | score: 49.5158 | visits: 49
146. CRINE | score: 49.5155 | visits: 49
147. BRANE | score: 49.5151 | visits: 49
148. CRAME | score: 49.5151 | visits: 49
149. TRAIN | score: 49.5147 | visits: 49
150. HEARS | score: 49.5146 | visits: 49
151. STEAR | score: 49.5145 | visits: 49
152. DENAR | score: 49.5144 | visits: 49
153. SANED | score: 49.5144 | visits: 49
154. CHARE | score: 49.5142 | visits: 49
155. DERNS | score: 49.5139 | visits: 49
156. CARNS | score: 49.5138 | visits: 49
157. THANE | score: 48.5185 | visits: 48
158. CANOE | score: 48.5184 | visits: 48
159. TRIES | score: 48.5184 | visits: 48
160. SINCE | score: 48.5184 | visits: 48
161. DEARS | score: 48.5182 | visits: 48
162. RASED | score: 48.5177 | visits: 48
163. RENAL | score: 48.5176 | visits: 48
164. ORANT | score: 48.5176 | visits: 48
165. COATE | score: 48.5175 | visits: 48
166. SEDAN | score: 48.5175 | visits: 48
167. DIANE | score: 48.5173 | visits: 48
168. SAYER | score: 48.5170 | visits: 48
169. PERNS | score: 48.5169 | visits: 48
170. REAMS | score: 48.5168 | visits: 48
171. CEROS | score: 48.5165 | visits: 48
172. CLONE | score: 48.5163 | visits: 48
173. TONER | score: 48.5163 | visits: 48
174. REAPS | score: 48.5161 | visits: 48
175. SCART | score: 48.5159 | visits: 48
176. REWAN | score: 48.5158 | visits: 48
177. REDAN | score: 48.5158 | visits: 48
178. LAERS | score: 48.5158 | visits: 48
179. TEALS | score: 48.5155 | visits: 48
180. CANES | score: 48.5155 | visits: 48
181. ROUSE | score: 48.5154 | visits: 48
182. CLEAN | score: 48.5152 | visits: 48
183. WEARS | score: 48.5152 | visits: 48
184. URATE | score: 48.5151 | visits: 48
185. LEATS | score: 48.5151 | visits: 48
186. ARSEY | score: 48.5150 | visits: 48
187. RISEN | score: 48.5148 | visits: 48
188. CERTS | score: 48.5147 | visits: 48
189. SOWNE | score: 48.5146 | visits: 48
190. NEALS | score: 48.5145 | visits: 48
191. SPIRE | score: 48.5144 | visits: 48
192. LEANY | score: 48.5141 | visits: 48
193. RAILE | score: 48.5141 | visits: 48
194. WEANS | score: 48.5140 | visits: 48
195. IRADE | score: 48.5139 | visits: 48
196. CERIA | score: 48.5137 | visits: 48
197. ANISE | score: 48.5136 | visits: 48
198. SLADE | score: 48.5136 | visits: 48
199. REACH | score: 48.5136 | visits: 48
200. SPORE | score: 48.5136 | visits: 48
201. HARES | score: 48.5136 | visits: 48
202. PAREN | score: 48.5130 | visits: 48
203. RAYNE | score: 48.5130 | visits: 48
204. TEINS | score: 48.5128 | visits: 48
205. LEARY | score: 48.5128 | visits: 48
206. EARST | score: 48.5128 | visits: 48
207. DRANT | score: 48.5128 | visits: 48
208. SETON | score: 48.5127 | visits: 48
209. FRATE | score: 48.5125 | visits: 48
210. RALES | score: 48.5125 | visits: 48
211. RESAW | score: 48.5124 | visits: 48
212. SPATE | score: 48.5124 | visits: 48
213. SEARE | score: 48.5124 | visits: 48
214. NOSER | score: 48.5122 | visits: 48
215. SEWAR | score: 48.5120 | visits: 48
216. NERAL | score: 48.5119 | visits: 48
217. RESTY | score: 48.5119 | visits: 48
218. FEART | score: 48.5119 | visits: 48
219. SCRAN | score: 48.5118 | visits: 48
220. HANSE | score: 48.5118 | visits: 48
221. CLEAR | score: 48.5116 | visits: 48
222. PERST | score: 48.5115 | visits: 48
223. SERIC | score: 48.5115 | visits: 48
224. LATER | score: 48.5114 | visits: 48
225. SLANT | score: 48.5109 | visits: 48
226. STOAE | score: 48.5108 | visits: 48
227. ASTER | score: 48.5108 | visits: 48
228. FARSE | score: 48.5108 | visits: 48
229. PARES | score: 48.5107 | visits: 48
230. SNORT | score: 48.5107 | visits: 48
231. MARSE | score: 48.5106 | visits: 48
232. ALERT | score: 48.5106 | visits: 48
233. SLICE | score: 48.5105 | visits: 48
234. ARSON | score: 48.5104 | visits: 48
235. ALINE | score: 48.5104 | visits: 48
236. CRIES | score: 48.5103 | visits: 48
237. TORES | score: 48.5103 | visits: 48
238. TRAVE | score: 48.5103 | visits: 48
239. SARGE | score: 48.5103 | visits: 48
240. SHEAR | score: 48.5102 | visits: 48
241. LARNS | score: 48.5101 | visits: 48
242. ANOLE | score: 48.5100 | visits: 48
243. HERON | score: 48.5100 | visits: 48
244. SHARN | score: 48.5100 | visits: 48
245. LOSER | score: 48.5099 | visits: 48
246. RECTA | score: 48.5098 | visits: 48
247. STAIR | score: 48.5098 | visits: 48
248. SAWER | score: 48.5098 | visits: 48
249. TOISE | score: 48.5095 | visits: 48
250. RESOD | score: 48.5095 | visits: 48
251. FERNS | score: 48.5093 | visits: 48
252. SLIER | score: 48.5093 | visits: 48
253. YEARS | score: 48.5093 | visits: 48
254. WORSE | score: 48.5093 | visits: 48
255. RINES | score: 48.5093 | visits: 48
256. HORSE | score: 48.5092 | visits: 48
257. SHIRE | score: 48.5092 | visits: 48
258. URSAE | score: 48.5092 | visits: 48
259. PLANE | score: 48.5091 | visits: 48
260. SHORE | score: 48.5088 | visits: 48
261. AISLE | score: 48.5088 | visits: 48
262. TARED | score: 48.5087 | visits: 48
263. SLART | score: 48.5087 | visits: 48
264. PRISE | score: 48.5085 | visits: 48
265. SILEN | score: 48.5084 | visits: 48
266. SABRE | score: 48.5082 | visits: 48
267. ROTES | score: 48.5082 | visits: 48
268. HASTE | score: 48.5081 | visits: 48
269. TESLA | score: 48.5080 | visits: 48
270. SWIRE | score: 48.5079 | visits: 48
271. LARNT | score: 48.5078 | visits: 48
272. SOREL | score: 48.5077 | visits: 48
273. LORES | score: 48.5076 | visits: 48
274. SPACE | score: 48.5075 | visits: 48
275. TIRES | score: 48.5075 | visits: 48
276. ALOES | score: 48.5074 | visits: 48
277. REALM | score: 48.5072 | visits: 48
278. SHALE | score: 48.5071 | visits: 48
279. STEAN | score: 48.5069 | visits: 48
280. ARPEN | score: 48.5068 | visits: 48
281. SEGAR | score: 48.5066 | visits: 48
282. HEAST | score: 48.5066 | visits: 48
283. TALER | score: 48.5066 | visits: 48
284. SWALE | score: 48.5066 | visits: 48
285. SNARY | score: 48.5063 | visits: 48
286. GRATE | score: 48.5062 | visits: 48
287. ARETS | score: 48.5062 | visits: 48
288. TAWSE | score: 48.5056 | visits: 48
289. SETAL | score: 48.5054 | visits: 48
290. FEARS | score: 48.5044 | visits: 48
291. WARES | score: 48.5043 | visits: 48
292. RETIA | score: 48.5043 | visits: 48
